name,website,logo,narrative,company_reponse,privacy_email,privacy_policy,CA_broker,VT_broker
InMarket / NinthDecimal,http://www.inmarket.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/inmarket_logo.jpeg,"Company <a href='https://inmarket.com/about-us/' target='_blank'>says</a> “being best-in-class means providing our customers with access to the most accurate and precise, permission-based, SDK-derived location data available today.” ",Did not respond. ,privacy@inmarket.com,https://inmarket.com/request-my-information/,TRUE,FALSE
Irys,https://irys.us/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/irys_logo.png,Company <a href='https://irys.us/'>says</a> they “collect and curate high quality geolocation signals from millions of connected devices worldwide.”,Did not respond. , privacy@irys.us ,https://irys.us/privacy-policy,TRUE,FALSE
Kochava Collective,https://www.kochava.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/kochava_logo.png,"Company <a href='https://www.kochava.com/data-marketplace/?int-link=menu-top-bar-data-marketplace#data-feeds' target='_blank'>offers</a> “rich categorical data from the Kochava Collective with all-in-one or a la carte data feeds” including “Precision Location.”

",Did not respond. ,privacy@kochava.com.,https://www.kochava.com/support-privacy/?int-link=menu-data-privacy,TRUE,TRUE
Lifesight,https://www.lifesight.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/lifesight_logo.com.png,"Company <a href='https://iabseaindia.com/wp-content/uploads/2018/11/The-Ultimate-Brand-Marketers-Guide-to-Location-Intelligence-1.pdf' target='_blank'>says</a>: “Savvy Location Intelligence platforms such as Lifesight have adopted SDK methodology because of its comprehensive data points. Harnessing the power of AI, this process is further refined in order to retrieve accurate signals.”
",Did not respond. , privacy@lifesight.io ,https://www.lifesight.io/privacy-policy-eng/,FALSE,FALSE
Mobilewalla,http://www.mobilewalla.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/mobilewalla_logo.jpeg,Company <a href='https://www.mobilewalla.com/' target='_blank'>says</a> its data covers “40+ Countries / 1.9B+ Devices / 50B Mobile Signals Daily / 5+ Years of Data”,"“Mobilewalla acquires data from various third parties in the digital ecosystem including publishers, demand side platforms (DSP), data management platforms (DMP) and data aggregators. We do not provide data in real-time. We do not have, nor do we provide, data that can be tied directly to an individual.” —Laurie Hood, Mobilewalla CMO",privacy@mobilewalla.com,https://www.mobilewalla.com/business-services-privacy-policy,TRUE,FALSE
Narrative,https://www.narrative.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/narrative_logo.jpeg,"Company <a href='https://www.narrative.io/data-types/location-data' target='_blank'>says</a>: “Ready to buy location data? Narrative's data streaming platform makes it quick and easy to discover and buy raw location data. Schedule a call with a member of our sales team to get started today.”

","“We take software and license it to the buyers and sellers of the data. So the buyers and sellers can work directly with each other as opposed to working through Narrative.” —Nick Jordan, Narrative CEO",privacy@narrative.io,https://www.narrative.io/privacy-policy,FALSE,FALSE
Near,https://near.co/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/near_logo.jpeg,"Company <a href='https://near.co/data/' target='_blank'>describes</a> itself as “The World's Largest Dataset of People's Behavior in the Real-World,” covering “1.6B people across 44 countries.... 5 billion events processed per day.”

",Did not respond. ,privacy@near.co,https://near.co/privacy/,FALSE,FALSE
Onemata,https://onemata.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/onemata_logo.jpeg,"Company <a href='https://www.onemata.com/' target='_blank'>claims</a> to have ""The most robust mobile location data set in the industry. We've built the most robust dataset of compliance-first mobile location data so you can focus on building game-changing products and solutions.""",Did not respond. ,privacy@onemata.com,https://www.onemata.com/privacy-policy,FALSE,FALSE
Oracle,https://www.oracle.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/oracle_logo.jpeg,"Company <a href='https://www.oracle.com/cx/advertising/audiences/' target='_blank'>claims</a> to “curate the best signals from within Oracle's own datasets and those sourced from third-party providers to deliver increased quality and scale, diverse signals, and simplified buying and cost structures,” with data from companies including PlaceIQ and Gravy Analytics.
",Company declined to comment. ,No email. Use form: https://www.oracle.com/legal/data-privacy-inquiry-form.html,https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html,TRUE,TRUE
Phunware,https://www.phunware.com/data/customer-data-platform/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/phunware_logo.jpeg,Company <a href='https://phunware.docsend.com/view/8qhpx4z' target='_blank'>claims</a> its data covers “1 B monthly active unique mobile devices with 200 B+ events across 190+ countries.” It was also cited in a Wall Street Journal <a href='https://www.wsj.com/articles/political-campaigns-track-cellphones-to-identify-and-target-individual-voters-11570718889' target='_blank'> article </a> as providing location data for political ads.,Did not respond. ,privacy@phunware.com ,https://www.phunware.com/privacy/optout/,FALSE,FALSE
PlaceIQ,http://www.placeiq.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/placeiq_logo.jpeg,"Company <a href='https://www.placeiq.com/audiences/' target='_blank'>offers</a> access to “PlaceIQ’s location-based audiences to discover new and innovative ways to reach consumers based on real-world behaviors.” Includes audience examples “Loyal Customers: Reach audiences who visit your location on a regular basis” and “Competitor Customers: Reach audiences who regularly visit your competitor’s locations.” 




",Did not respond. ,privacy@placeiq.com,https://www.placeiq.com/privacy/,TRUE,FALSE
Placer.ai,https://www.placer.ai/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/placer.ai_logo.jpeg,"Company <a href='https://www.placer.ai/resources/our-data/' target='_blank'>says</a> they have built “the World’s Most Accurate Location Tracking SDK,” which it claims is “deployed into millions of devices.” Numbers include:
“1.5B+ Monthly Visitors / 20M+ Active Devices / 13M+ Venues / 1K+ User Segments / 500+ Mobile Apps”","“We are not actually providing or selling the acquired data to anyone. We use the data as a panel to run AI and Machine Learning algorithms to make estimations on foot traffic patterns to Commercial Real Estate locations across the US. The information we provide our customers and users is based on these estimations, and not the data we aggregate.” —Ethan Chernofsky, Placer.ai VP marketing",privacy@placer.ai,https://www.placer.ai/privacy-policy/sdk-user-privacy-policy/,FALSE,FALSE
Predicio,http://www.predic.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/predicio_logo.png,"Company recently <a href='https://web.archive.org/web/20190823013420/http://www.predic.io/'>said</a> it provides “ultra precise mobile location data to measure offline results of products, services, or media campaigns.”
",Did not respond. ,legal@predic.io,http://www.predic.io/privacy-us,FALSE,FALSE
Predik Data-Driven,https://predikdata.com/en/home/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/predik_data_logo.jpeg,"Company <a href='https://predikdata.com/geomarketing_en/' target='_blank'>says</a> it analyzes “traffic foot data and pedestrian flow through geo-referenced data, derived from the consumption of mobile apps.”",Did not respond. ,info@predikdata.com,https://predikdata.com/en/predik-data-driven-privacy-policy/,FALSE,FALSE
Quadrant,https://www.quadrant.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/quadrant_logo.jpeg,"Company <a href='https://www.quadrant.io' target='_blank'>offers</a> “location data from 350M+ devices seen per month in nearly every country. Analyse faster, discover hidden patterns and gain deeper insights with Quadrant’s Algorithms.”


",Did not respond. ,privacy@quadrant.io,https://www.quadrant.io/data-requests,FALSE,FALSE
QueXopa,https://quexopa.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/quexopa_logo.png,Company <a href='https://quexopa.io/alternative-data/' target='_blank'>offers</a> a “unique set of aggregated Global mobile location data. With millions of high frequency DAU’s - clients have the rare accessibility to track mobile activity across a wide spectrum of use cases. Gain vital intelligence about your audience. Directly geo-target devices and view tracking on up to 2 years of historic activity.”,Did not respond. ,info@quexopa.io,https://quexopa.io/privacy-policy/,FALSE,FALSE
Reveal Mobile,http://www.revealmobile.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/reveal_mobile_logo.jpeg,"Company <a href='https://revealmobile.com/solutions/agencies/' target='_blank'>says</a>: “We process privacy compliant location data for approximately 50 million opted-in mobile users every day across North America. Across those devices, we see about 20 billion location events every day.”","“Reveal Mobile does not collect, manage, market, or sell personally identifiable information (PII). We do not pair our data with any other data sets. Reveal Mobile's data supply comes from people who have opted in to location services in the mobile apps they use.” —Dan Dillon, Reveal Mobile CMO",privacy@revealmobile.com.,https://revealmobile.com/privacy/,FALSE,TRUE
SafeGraph,http://www.safegraph.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/safegraphy_logo.png,Company <a href='https://www.safegraph.com/products/patterns' target='_blank'>says it partners</a> with “mobile applications that obtain opt-in consent from its users to collect anonymous location data. This data is not associated with any name or email address. This data includes the latitude and longitude of a device at a given point in time. We take this latitude/longitude information and determine visits to points of interest.”,Company declined to comment. ,privacy@safegraph.com,https://www.safegraph.com/privacy-policy,TRUE,FALSE
Snowflake,https://www.snowflake.com/data-marketplace/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/snowflake_logo.png,"Company <a href='https://www.snowflake.com/data-marketplace/'>offers</a> “a wide range of open and commercial data sets across 16 categories including public health, weather, location, demographics, SaaS providers and more.”",Did not respond. ,privacy@snowflake.com,https://www.snowflake.com/privacy-policy/,FALSE,FALSE
start.io,http://www.start.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/start_io_logo.jpeg,"Company <a href='https://www.start.io/growth/'>says</a> “we don’t just find your customers in the mobile world. We know where they are in the real world in real-time. Via location-based targeting, you can use Start.io data to interact with customers when they are in physical proximity to your stores.”",Did not respond. ,support@start.io,https://www.start.io/policy/privacy-policy/,FALSE,FALSE
Stirista,http://www.stirista.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/stirista_logo.jpeg,"Company <a href='https://www.stirista.com/identity-graph/' target='_blank'>says</a>: “We can track where individuals go and contextually target them based on their movement” and offers “Comprehensive identities across physical and digital space.... Reach audiences with ads across every channel as they move across devices and locations throughout the day.”

",Did not respond. ,privacy.officer@stirista.com,https://www.stirista.com/privacy-policy/,TRUE,FALSE
Tamoco,http://www.tamoco.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/tamoco_logo.jpeg,"Company <a href='https://www.tamoco.com/geospatial-raw-location-data/' target='_blank'>claims</a> to have “The industry’s most accurate and trustworthy location data. We pride ourself on our accuracy and transparency. No more false data, 100% consented and privacy compliant.”",Did not respond. ,privacy@tamo.co,https://www.tamoco.com/privacy-policy,FALSE,FALSE
THASOS,http://thasosgroup.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/thasos_group_logo.png,"Company <a href='http://thasosgroup.com/platform/' target='_blank'>describes itself</a> as “an artificial intelligence engine for extracting actionable information from the real-time locations of mobile phones everywhere, based on the largest repository of high-quality location data after Google and Apple.”",Did not respond. ,privacy@thasos.com,http://thasosgroup.com/privacy-policy/,FALSE,FALSE
Unacast,http://www.unacast.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/unacast_logo.jpeg,"Company <a href='https://www.unacast.com/' target='_blank'>claims</a> “The industry’s most trustworthy location data....
100+ countries / 10 million active users / 15 billion data points a day.”
",Did not respond. ,privacy@unacast.com,https://www.unacast.com/privacy,TRUE,FALSE
Venntel,https://www.venntel.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/venntel_logo.png,"Company recently <a href='https://web.archive.org/web/20200308165543/https://venntel.com/' target='_blank'>said</a> as a “pioneer in mobile location information, Venntel supports our national interests through technological innovation, data reliability, and proven results.”",Did not respond. ,privacy@venntel.com,https://www.venntel.com/privacy-policy?hsLang=en,TRUE,TRUE
Venpath,https://www.venpath.net/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/venpath_logo.jpeg,"Company <a href='https://www.venpath.net/using-our-data' target='_blank'>claims</a> “Our data is sourced from a large and unique set of sources, giving us a remarkably un-biased set of data. 212 Active Apps / 61m Unique Devices Seen Monthly.”",Did not respond. ,privacy@venpath.net,https://www.venpath.net/legal/privacy-policy,TRUE,FALSE
Veraset,https://www.veraset.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/veraset_logo.png,"Company <a href='https://www.veraset.com/products/movement/' target='_blank'>claims</a> “Our core population human movement dataset delivers the most granular and frequent GPS signals available in a third-party dataset. Unlike other data providers who rely on one SDK, we source from thousands of apps and SDKs to avoid a biased sample.”",Did not respond. ,privacy@veraset.com,https://www.veraset.com/privacy-policy/,FALSE,FALSE
X-Mode (Outlogic),https://xmode.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/xmode_logo.jpeg,"Motherboard <a href='https://www.vice.com/en/article/jgqm5x/us-military-location-data-xmode-locate-x' target='_blank'>reported</a> that X-Mode, which is now Outlogic, has been identified as a location data provider that sold data to the U.S. military. ",Did not respond. ,privacy@xmodesocial.com,https://xmode.io/xmode-privacy-policy-2/,TRUE,FALSE
